query	grouping_confidence	location_confidence	orientation_confidence
scaffold_46	0.27496911645115435	1.0	1.0
scaffold_30	0.32380381802203206	1.0	1.0
scaffold_102	0.4337769767549332	1.0	1.0
scaffold_80	0.39900748737593594	1.0	1.0
scaffold_67	0.5859480376926727	1.0	1.0
scaffold_34	0.4907895787924089	1.0	1.0
scaffold_41	0.23646149113558623	1.0	1.0
scaffold_116	0.7687851625822447	1.0	1.0
scaffold_593	0.9479204339963834	1.0	1.0
scaffold_916	1.0	1.0	1.0
scaffold_301	1.0	1.0	1.0
scaffold_277	0.9259079642202823	1.0	1.0
scaffold_780	1.0	1.0	1.0
scaffold_838	1.0	1.0	1.0
scaffold_571	0.596340150699677	1.0	1.0
scaffold_109	0.6283943121002019	1.0	1.0
scaffold_312	0.6657229524772498	1.0	1.0
scaffold_35	0.2519380672211116	1.0	1.0
scaffold_310	0.742671009771987	1.0	1.0
scaffold_500	0.47017045454545453	1.0	1.0
scaffold_48	0.21022698258693764	1.0	1.0
scaffold_543	1.0	1.0	1.0
scaffold_596	0.867579908675799	1.0	1.0
scaffold_82	0.2650058231552543	1.0	1.0
scaffold_375	0.5927446954140999	1.0	1.0
scaffold_168	0.44671614209028776	1.0	1.0
scaffold_852	1.0	1.0	1.0
scaffold_404	1.0	1.0	1.0
scaffold_512	1.0	1.0	1.0
scaffold_288	0.542939542832728	1.0	1.0
scaffold_455	0.7071138211382114	1.0	1.0
scaffold_337	0.5286633309506791	1.0	1.0
scaffold_53	0.6588206333221439	1.0	1.0
scaffold_235	0.46210006441915397	1.0	1.0
scaffold_105	0.3202602849806942	1.0	1.0
scaffold_39	0.27037547623173636	1.0	1.0
scaffold_88	0.47605128708980154	1.0	1.0
scaffold_570	0.7496301775147929	1.0	1.0
scaffold_316	0.6365773389750823	1.0	1.0
scaffold_409	0.739964317573595	1.0	1.0
scaffold_175	0.32308564946114576	1.0	1.0
scaffold_56	0.2540445865935614	0.9427998134776526	0.990422805413588
scaffold_83	0.6489031382233583	1.0	1.0
scaffold_200	0.9740034662045061	1.0	1.0
scaffold_343	0.47639336711193	1.0	1.0
scaffold_289	0.6555972663393974	1.0	1.0
scaffold_110	0.8638285024154589	1.0	1.0
scaffold_268	0.5789473684210527	1.0	1.0
scaffold_464	0.4870024370430544	1.0	1.0
scaffold_813	1.0	1.0	1.0
scaffold_676	1.0	1.0	1.0
scaffold_333	0.9692982456140351	1.0	1.0
scaffold_935	1.0	1.0	1.0
scaffold_474	1.0	1.0	1.0
scaffold_140	0.8894778529214646	1.0	1.0
scaffold_92	0.47907386019908704	1.0	1.0
scaffold_391	0.9424222369291859	1.0	1.0
scaffold_560	1.0	1.0	1.0
scaffold_124	0.23607948664872697	1.0	1.0
scaffold_641	1.0	1.0	1.0
scaffold_279	0.5585165859112933	1.0	1.0
scaffold_77	0.6799086012730537	1.0	1.0
scaffold_651	1.0	1.0	1.0
scaffold_791	1.0	1.0	1.0
scaffold_151	0.3847980997624703	1.0	1.0
scaffold_119	0.3984905094530596	1.0	1.0
scaffold_406	0.8565382987727465	1.0	1.0
scaffold_115	0.5360933680309123	1.0	1.0
scaffold_113	0.3341058624068688	1.0	1.0
scaffold_462	0.9473026973026973	1.0	1.0
scaffold_317	0.4459084604715673	1.0	1.0
scaffold_44	0.2597301389383684	1.0	1.0
scaffold_473	1.0	1.0	1.0
scaffold_574	1.0	1.0	1.0
scaffold_773	1.0	1.0	1.0
scaffold_762	1.0	1.0	1.0
scaffold_522	0.8200048911714356	1.0	1.0
scaffold_600	0.8958479943701618	1.0	1.0
scaffold_398	0.5739840559984445	1.0	1.0
scaffold_148	0.5827486938906067	1.0	1.0
scaffold_69	0.37349114601417455	1.0	1.0
scaffold_97	0.4681547233380847	1.0	1.0
scaffold_73	0.3696927556386076	1.0	1.0
scaffold_85	0.5523295994963768	0.9833465310349029	0.9985637876386688
scaffold_84	0.38999716614932417	1.0	1.0
