query	grouping_confidence	location_confidence	orientation_confidence
scaffold_557	0.6419753086419753	1.0	1.0
scaffold_95	0.9983311041935445	1.0	1.0
scaffold_587	1.0	1.0	1.0
scaffold_25	0.8697333577378983	1.0	1.0
scaffold_78	0.6651317040197714	1.0	1.0
scaffold_1055	1.0	1.0	1.0
scaffold_848	1.0	1.0	1.0
scaffold_268	0.3961758616490074	1.0	1.0
scaffold_104	0.6108468256035534	1.0	1.0
scaffold_355	0.793057587445139	1.0	1.0
scaffold_766	1.0	1.0	1.0
scaffold_187	0.6542008196721312	1.0	1.0
scaffold_240	1.0	1.0	1.0
scaffold_98	0.7751069597308861	1.0	1.0
scaffold_696	1.0	1.0	1.0
scaffold_927	1.0	1.0	1.0
scaffold_382	1.0	1.0	1.0
scaffold_64	0.5655920712282517	1.0	1.0
scaffold_1324	1.0	1.0	1.0
scaffold_300	0.8018018018018018	1.0	1.0
scaffold_81	0.9111665967677438	1.0	1.0
scaffold_116	1.0	1.0	1.0
scaffold_1475	1.0	1.0	1.0
scaffold_317	1.0	1.0	1.0
scaffold_71	1.0	0.9850642653125992	1.0
scaffold_97	0.8943357030122351	1.0	1.0
scaffold_66	0.5924168445352364	1.0	1.0
scaffold_123	0.6008297525559342	1.0	1.0
scaffold_86	1.0	1.0	1.0
scaffold_129	1.0	1.0	1.0
scaffold_52	0.9949815618417638	1.0	1.0
scaffold_495	0.6728800210028879	1.0	1.0
scaffold_87	0.9938422412239422	1.0	1.0
scaffold_60	0.8775012590229981	1.0	1.0
scaffold_96	1.0	1.0	1.0
scaffold_169	1.0	1.0	1.0
scaffold_63	1.0	1.0	1.0
scaffold_58	0.878741151993925	1.0	1.0
scaffold_39	0.9783070228342857	0.9904088622879094	1.0
scaffold_673	1.0	1.0	1.0
scaffold_414	0.6720545977011494	1.0	1.0
scaffold_674	1.0	1.0	1.0
scaffold_1061	1.0	1.0	1.0
scaffold_55	0.5606486486486486	1.0	1.0
scaffold_1505	1.0	1.0	1.0
scaffold_254	1.0	1.0	1.0
scaffold_364	0.7532400207361327	1.0	1.0
scaffold_94	0.43207211033636544	1.0	1.0
scaffold_3	0.4634909968858339	0.9942804883552389	1.0
scaffold_82	1.0	1.0	1.0
scaffold_164	0.5755747345910028	1.0	1.0
scaffold_118	0.4907760223048327	1.0	1.0
scaffold_128	1.0	1.0	1.0
scaffold_80	0.9399869487358485	0.9692358247725157	0.9922343577200332
scaffold_1036	0.6381278538812786	1.0	1.0
scaffold_827	1.0	1.0	1.0
scaffold_1509	1.0	1.0	1.0
scaffold_388	1.0	1.0	1.0
scaffold_1313	1.0	1.0	1.0
scaffold_577	0.9490818030050083	1.0	1.0
scaffold_879	1.0	1.0	1.0
scaffold_107	0.7787316318638824	1.0	1.0
scaffold_1107	1.0	1.0	1.0
scaffold_93	0.8930159467133342	1.0	1.0
scaffold_1349	1.0	1.0	1.0
scaffold_223	0.9565957446808511	1.0	1.0
scaffold_122	0.29231882746765586	1.0	1.0
scaffold_67	0.9849205163170381	1.0	1.0
scaffold_818	1.0	1.0	1.0
scaffold_1139	1.0	1.0	1.0
scaffold_79	0.25430377566030987	1.0	1.0
scaffold_61	0.9963693954858249	1.0	1.0
scaffold_121	1.0	1.0	1.0
scaffold_51	0.9986160471161566	1.0	1.0
scaffold_32	0.7047680177472337	1.0	1.0
scaffold_515	1.0	1.0	1.0
scaffold_145	0.759110835584289	1.0	1.0
scaffold_90	0.6909953979697581	1.0	1.0
scaffold_206	0.9976225854383358	1.0	1.0
scaffold_236	0.9909717272511286	1.0	1.0
scaffold_34	0.8407232072163197	1.0	1.0
scaffold_264	1.0	1.0	1.0
scaffold_17	0.5150744473013186	1.0	1.0
scaffold_77	1.0	1.0	1.0
scaffold_33	0.9848752656436901	1.0	1.0
scaffold_302	0.8651162790697674	1.0	1.0
scaffold_914	1.0	1.0	1.0
scaffold_1156	1.0	1.0	1.0
scaffold_399	0.8196994991652755	1.0	1.0
scaffold_53	0.980704547027476	1.0	1.0
scaffold_1157	1.0	1.0	1.0
scaffold_443	1.0	1.0	1.0
scaffold_452	0.6153130812151271	1.0	1.0
scaffold_260	1.0	1.0	1.0
scaffold_933	1.0	1.0	1.0
scaffold_329	0.4639369539146822	1.0	1.0
scaffold_304	0.5033414337788579	1.0	1.0
scaffold_1404	1.0	1.0	1.0
scaffold_1557	1.0	1.0	1.0
scaffold_54	0.48192983519480737	1.0	1.0
scaffold_73	0.9760708733389061	0.9783868441660141	1.0
scaffold_203	1.0	1.0	1.0
scaffold_85	0.8167279209269255	0.9991301897656413	0.9948501643042817
scaffold_178	0.761376673040153	1.0	1.0
scaffold_137	0.5952141057934509	1.0	1.0
scaffold_363	0.6306122448979592	1.0	1.0
scaffold_83	0.9442759178570772	1.0	1.0
scaffold_1261	1.0	1.0	1.0
scaffold_1412	1.0	1.0	1.0
scaffold_532	1.0	1.0	1.0
scaffold_159	0.42004744236968555	1.0	1.0
scaffold_8	0.8462472294597734	0.9953685523203702	1.0
scaffold_207	0.266543982333456	1.0	1.0
scaffold_1438	1.0	1.0	1.0
scaffold_20	0.47544709879990166	1.0	1.0
scaffold_10	1.0	1.0	1.0
scaffold_603	1.0	1.0	1.0
scaffold_1588	1.0	1.0	1.0
scaffold_338	0.7596673596673597	1.0	1.0
scaffold_1436	0.7504690431519699	1.0	1.0
scaffold_466	0.5698125949687658	1.0	1.0
scaffold_2	0.6731007885687623	1.0	1.0
scaffold_275	1.0	1.0	1.0
scaffold_500	0.9251612903225807	1.0	1.0
scaffold_72	0.748511436721148	1.0	1.0
scaffold_108	0.9712386182974418	1.0	1.0
scaffold_1222	1.0	1.0	1.0
scaffold_156	1.0	1.0	1.0
scaffold_19	0.9937114239193088	1.0	1.0
scaffold_250	1.0	1.0	1.0
scaffold_44	1.0	1.0	1.0
scaffold_4	0.9996718888723455	0.9887964960414104	1.0
scaffold_314	0.5789308176100629	1.0	1.0
scaffold_352	1.0	1.0	1.0
scaffold_11	0.5635314588491058	1.0	1.0
scaffold_99	1.0	1.0	1.0
scaffold_12	1.0	1.0	1.0
scaffold_1401	1.0	1.0	1.0
scaffold_48	0.9615879632320582	1.0	1.0
scaffold_31	1.0	1.0	1.0
scaffold_35	0.8401837488083839	1.0	1.0
scaffold_861	1.0	1.0	1.0
scaffold_197	0.37338686550043015	1.0	1.0
scaffold_148	0.3544132981659817	1.0	1.0
scaffold_113	0.435601294265684	1.0	1.0
scaffold_109	0.41869830213321724	1.0	1.0
scaffold_1239	1.0	1.0	1.0
scaffold_725	1.0	1.0	1.0
scaffold_333	0.7961977186311787	1.0	1.0
scaffold_899	1.0	1.0	1.0
scaffold_285	1.0	1.0	1.0
scaffold_75	0.33854780527875994	1.0	1.0
scaffold_211	0.9646535625589588	1.0	1.0
scaffold_801	0.9347214406302757	1.0	1.0
scaffold_429	1.0	1.0	1.0
scaffold_462	0.5881561238223418	1.0	1.0
scaffold_1381	1.0	1.0	1.0
scaffold_578	1.0	1.0	1.0
scaffold_1581	1.0	1.0	1.0
scaffold_503	0.9862616099071208	1.0	1.0
scaffold_349	0.9165056879158617	1.0	1.0
scaffold_18	0.6710409366780045	0.99574702734289	0.9903976889983593
scaffold_231	0.3859359524595576	1.0	1.0
scaffold_172	0.8080841275057509	1.0	1.0
scaffold_161	0.8054347826086956	1.0	1.0
scaffold_70	0.9397436343830363	0.9992753776498964	1.0
scaffold_117	0.6281046906599125	1.0	1.0
scaffold_613	1.0	1.0	1.0
scaffold_1506	1.0	1.0	1.0
scaffold_1471	1.0	1.0	1.0
scaffold_781	1.0	1.0	1.0
scaffold_151	0.6993082244427363	1.0	1.0
scaffold_361	0.7380989787902592	1.0	1.0
scaffold_1215	1.0	1.0	1.0
scaffold_468	0.9030786773090079	1.0	1.0
scaffold_634	1.0	1.0	1.0
scaffold_605	0.9538855678906917	1.0	1.0
scaffold_476	0.9684542586750788	1.0	1.0
scaffold_244	1.0	1.0	1.0
scaffold_395	0.9034668260609683	1.0	1.0
scaffold_925	1.0	1.0	1.0
scaffold_420	0.7699680511182109	1.0	1.0
scaffold_1518	1.0	1.0	1.0
scaffold_978	1.0	1.0	1.0
scaffold_1348	1.0	1.0	1.0
scaffold_611	1.0	1.0	1.0
scaffold_552	1.0	1.0	1.0
scaffold_430	1.0	1.0	1.0
scaffold_695	1.0	1.0	1.0
scaffold_768	1.0	1.0	1.0
scaffold_346	0.7422921208346309	1.0	1.0
scaffold_936	0.8423307626392459	1.0	1.0
scaffold_1153	1.0	1.0	1.0
scaffold_747	1.0	1.0	1.0
scaffold_932	1.0	1.0	1.0
scaffold_1031	1.0	1.0	1.0
scaffold_1221	1.0	1.0	1.0
scaffold_1206	1.0	1.0	1.0
scaffold_1104	0.902046783625731	1.0	1.0
scaffold_490	1.0	1.0	1.0
scaffold_1019	1.0	1.0	1.0
scaffold_1225	1.0	1.0	1.0
scaffold_1119	1.0	1.0	1.0
scaffold_1194	1.0	1.0	1.0
scaffold_919	1.0	1.0	1.0
scaffold_651	1.0	1.0	1.0
scaffold_239	1.0	1.0	1.0
scaffold_710	1.0	1.0	1.0
scaffold_867	1.0	1.0	1.0
scaffold_1523	1.0	1.0	1.0
scaffold_1002	1.0	1.0	1.0
scaffold_1018	1.0	1.0	1.0
scaffold_49	0.976014608964379	1.0	1.0
scaffold_38	0.9997861492228213	1.0	1.0
scaffold_135	0.9984197071810365	1.0	1.0
scaffold_103	1.0	1.0	1.0
scaffold_444	0.8058076225045372	1.0	1.0
scaffold_792	1.0	1.0	1.0
scaffold_168	0.9976126948462295	1.0	1.0
scaffold_45	0.9987637792725191	1.0	1.0
scaffold_47	0.9814760466119983	0.9766734715497668	1.0
scaffold_40	0.7133853097312395	1.0	1.0
scaffold_157	0.8905568458618932	1.0	1.0
scaffold_859	1.0	1.0	1.0
scaffold_181	0.5985919459307237	1.0	1.0
scaffold_336	0.8472584856396866	1.0	1.0
scaffold_1274	1.0	1.0	1.0
scaffold_915	1.0	1.0	1.0
scaffold_524	1.0	1.0	1.0
scaffold_290	0.5375446960667462	1.0	1.0
scaffold_230	0.3529978507374194	1.0	1.0
scaffold_505	0.9016963897346673	1.0	1.0
scaffold_112	0.7575	1.0	1.0
scaffold_1533	1.0	1.0	1.0
