query	grouping_confidence	location_confidence	orientation_confidence
tig00000035	0.970343253001744	0.9495982561990087	1.0
tig00000019	0.994004628551015	0.9925879842970734	1.0
tig00000020	1.0	0.9921625633642757	1.0
tig00000002	0.9911469265415626	0.9990600420090416	1.0
tig00000007	0.9802510723840064	0.9834659089163389	0.9846839291938555
tig00000004	0.9985631200531996	0.9837028497226026	0.9851501967605276
tig00000175	1.0	1.0	1.0
tig00000176	0.34363108548115023	0.0957304967122639	0.998264958804623
tig00000179	0.4872737724740817	0.19935606567481318	0.9944978947582531
tig00000069	1.0	1.0	1.0
tig00000184	0.9768582995951417	0.8064789994050444	1.0
tig00000044	1.0	1.0	1.0
tig00000183	1.0	1.0	1.0
tig00000177	0.5355157274163257	0.10363664591414401	0.8640683978352813
tig00000104	0.7940731944294505	0.03986461585154353	0.5459859968730881
tig00000182	0.624173004988873	0.0434006894138725	0.32115912445002276
tig00000029	0.9906507105459985	0.10385333509754627	1.0
tig00000178	0.533857619090523	0.22614237968278894	0.7265329600797638
tig00000043	0.3354057554767134	0.1359246197056237	0.6966430482330949
tig00000027	0.7755743900453341	0.9898031352533723	1.0
tig00000006	0.9996467715350508	0.551878193553761	0.9997185751412234
tig00000009	0.9819004021595523	0.9848580683402324	0.9995749624829283
tig00000005	0.9769510999835027	0.5597804558363877	1.0
tig00000012	1.0	1.0	1.0
tig00000038	0.9774993249594468	0.8936701765327126	0.9883442718285287
tig00000180	1.0	1.0	1.0
tig00000034	1.0	1.0	1.0
tig00000040	1.0	1.0	1.0
tig00000001	0.9967282971271346	0.9863182047458222	0.9973126221709088
tig00000053	0.9423459244532804	1.0	1.0
tig00000023	1.0	0.9916740917212626	1.0
tig00000028	1.0	1.0	1.0
tig00000011	0.997764605624889	0.9918951162638848	1.0
tig00000052	1.0	0.4983355902879995	0.5750418060200669
tig00000049	0.8877334399901547	0.04559520755716783	0.6737887294655853
tig00000017	0.9581072888653993	0.9524197058391773	0.9847275401821446
tig00000031	1.0	1.0	1.0
tig00000013	0.9754060256776871	0.9916954171226484	0.8993646488579916
tig00000015	0.7986393952993444	0.3958760860068073	0.99972168301374
tig00000046	0.8769759071796742	0.1489111465431466	1.0
tig00000041	1.0	1.0	1.0
tig00000055	1.0	1.0	1.0
tig00000039	1.0	1.0	1.0
tig00000024	0.97333736972816	0.934689138603663	1.0
tig00000022	0.7241697989654903	0.9862921976530912	1.0
tig00000059	1.0	1.0	1.0
tig00000048	1.0	1.0	1.0
tig00000016	0.9713475385223583	1.0	1.0
tig00000032	0.729003230089686	1.0	1.0
tig00000106	1.0	1.0	1.0
tig00000008	0.911744660631767	0.998982688618416	0.997913129154498
tig00000014	0.9841860437690212	0.9833039994697812	0.9984295169922217
tig00000026	0.5459636417531353	0.98044772185821	0.9912278834074989
tig00000036	0.564141438841884	1.0	1.0
tig00000037	0.7785583946403875	0.28782638617528183	0.6446745422247439
tig00000010	0.80069415029808	0.9763116106254721	1.0
tig00000050	0.5292525014714538	1.0	1.0
tig00000060	0.44075021312872975	1.0	1.0
tig00000051	0.6433189655172413	1.0	1.0
