query	grouping_confidence	location_confidence	orientation_confidence
scaffold_112	0.9209944751381215	1.0	1.0
scaffold_48	1.0	1.0	1.0
scaffold_22	1.0	1.0	1.0
scaffold_27	0.9566477940975356	0.3349472910026967	0.5653247941445563
scaffold_59	0.37016461838465375	1.0	1.0
scaffold_23	1.0	1.0	1.0
scaffold_6	1.0	0.649045706045088	0.8059664607637641
scaffold_11	1.0	0.742429024718562	0.9950162702948254
scaffold_19	0.999722456515727	0.7061908277750201	0.7588708129260909
scaffold_85	0.6839333997438451	1.0	1.0
scaffold_9	0.9895627594409675	0.7030452672586512	0.8585594861040583
scaffold_4	0.9939686625252795	0.9853294281629185	0.853279555914257
scaffold_180	1.0	1.0	1.0
scaffold_186	1.0	1.0	1.0
scaffold_157	1.0	1.0	1.0
scaffold_28	0.800623744748085	0.9932928286172645	1.0
scaffold_17	0.8227771196237665	0.5179964443122516	0.8992179777040452
scaffold_1	0.9448524929444156	0.9294839656533695	0.8755126066819199
scaffold_14	0.9007649595345164	0.9970545364318804	0.9985371888515951
scaffold_153	1.0	1.0	1.0
scaffold_12	0.9381967810274255	0.9946695123035685	0.6114387791506061
scaffold_8	0.8726444265897507	0.9540423297430455	0.9233758031144507
scaffold_3	1.0	0.5904666071270455	0.8268451031768732
scaffold_26	0.7763300939981704	1.0	1.0
scaffold_29	1.0	0.4136260780866382	0.9008061968058153
scaffold_18	0.9935318414277325	0.9332396153603192	0.942006686057378
scaffold_177	1.0	1.0	1.0
scaffold_57	0.897654796232901	0.7591600394031859	0.9990030699117005
scaffold_50	0.8482395152917055	1.0	1.0
scaffold_52	0.8028319697923222	1.0	1.0
scaffold_148	1.0	1.0	1.0
scaffold_164	1.0	1.0	1.0
scaffold_158	1.0	1.0	1.0
scaffold_5	0.9195117920776635	0.9893360879787974	0.9994826954923967
scaffold_21	1.0	1.0	1.0
scaffold_40	1.0	1.0	1.0
scaffold_65	1.0	1.0	1.0
scaffold_45	0.9784349701845951	1.0	1.0
scaffold_104	1.0	1.0	1.0
scaffold_128	1.0	0.027526561383775898	0.9050248481501932
scaffold_33	0.9857577828869695	0.8543163336744036	1.0
scaffold_34	1.0	1.0	1.0
scaffold_32	1.0	0.5483838746650308	1.0
scaffold_35	1.0	1.0	1.0
scaffold_36	0.985022359039835	0.1041556933527924	0.981628907674044
scaffold_13	0.8671862407393035	0.6979028538483713	0.8380704797898961
scaffold_46	1.0	0.9700271133262925	1.0
scaffold_25	0.48627148227712136	0.9667136391648578	0.9905282463379907
scaffold_99	0.9337349397590361	1.0	1.0
scaffold_15	0.8430927820193628	0.9711239467570857	0.9750357380194834
scaffold_38	0.9977496395662258	1.0	1.0
scaffold_31	1.0	1.0	1.0
scaffold_16	0.9904802319955949	0.9690673227262693	0.9981634346303666
scaffold_117	0.9758612019109881	0.00195401297674065	1.0
scaffold_51	0.8479487386152978	0.01653287058163041	0.8859369801815503
scaffold_41	0.9867606632054471	0.04832106777730603	0.7931283363726068
scaffold_107	1.0	0.0012087463937624362	0.5652951699463328
scaffold_71	1.0	0.001960487316215072	0.48865964296166226
scaffold_70	0.9987679766030697	0.0232632546404081	0.9553964630744045
scaffold_87	1.0	0.007298666069384302	0.9976131617082943
scaffold_135	1.0	0.0057931326940043595	0.6312034739454094
scaffold_196	1.0	1.0	1.0
scaffold_198	1.0	1.0	1.0
scaffold_122	1.0	1.0	1.0
scaffold_110	1.0	0.000875632764276953	0.6096333572969087
scaffold_66	1.0	0.0006655115333970954	0.9640261627906976
scaffold_168	1.0	1.0	1.0
scaffold_150	1.0	1.0	1.0
scaffold_82	0.6911829862649534	0.001700215033606494	1.0
scaffold_86	1.0	0.0031658648704379934	0.843472572656761
scaffold_118	1.0	0.0005782338447497255	0.8236228813559322
scaffold_80	1.0	0.000782354560847106	0.9719836400817996
scaffold_81	1.0	0.026455937868780546	0.8977561467752784
scaffold_63	1.0	0.022426429409730844	0.9095949506355134
scaffold_62	0.9774608638636177	0.019239368982252546	1.0
scaffold_83	1.0	1.0	1.0
scaffold_94	1.0	0.001439271258436748	0.9698725376593279
