query	grouping_confidence	location_confidence	orientation_confidence
scaffold_8	0.3483086305002093	0.6691538010157625	0.5503360270938381
scaffold_28	0.33072028770012796	1.0	1.0
scaffold_38	0.21975030670419282	1.0	1.0
scaffold_14	0.26746657682560687	1.0	1.0
scaffold_43	0.4854664391353811	1.0	1.0
scaffold_16	0.2311002925220442	0.8658723755927668	0.9687986455930644
scaffold_50	0.6915858617453863	1.0	1.0
scaffold_33	0.21550070799949814	1.0	1.0
scaffold_52	0.6302129060579456	1.0	1.0
scaffold_73	1.0	1.0	1.0
scaffold_34	0.7858663076054381	1.0	1.0
scaffold_31	0.428638648272912	1.0	1.0
scaffold_37	0.3253743995478949	1.0	1.0
scaffold_42	0.36925317957767906	0.9353726094705911	1.0
scaffold_87	1.0	1.0	1.0
scaffold_88	1.0	1.0	1.0
scaffold_84	1.0	1.0	1.0
scaffold_81	1.0	1.0	1.0
scaffold_29	0.43805521262903524	0.9738738423087254	0.683400091142398
scaffold_53	1.0	1.0	1.0
scaffold_32	0.3255659922928709	1.0	1.0
scaffold_26	0.421880854252529	1.0	1.0
scaffold_44	0.3240314911528568	1.0	1.0
scaffold_39	0.2813203783540313	1.0	1.0
scaffold_45	0.39848051090068265	1.0	1.0
scaffold_27	0.5139613349201124	0.9252012694361037	0.9909596447904029
scaffold_19	0.3498145407883912	0.8324079456393193	0.9668898092853014
scaffold_57	0.893293142426526	0.622496849180787	0.8586693661773803
scaffold_59	0.5329989777664196	0.5733676975945017	0.7463590050943961
scaffold_17	0.23408558312734742	0.974112067861894	0.9166266684951545
scaffold_18	0.3059332054420834	0.9233605556008025	0.843565070964638
scaffold_10	0.2078871861827302	1.0	1.0
scaffold_58	1.0	1.0	1.0
scaffold_22	0.23661152137541105	0.9689108077579015	1.0
scaffold_54	0.6411428571428571	1.0	1.0
scaffold_48	0.49023650803358465	1.0	1.0
scaffold_56	0.5002778962606796	1.0	1.0
scaffold_41	0.4515400539489367	1.0	1.0
scaffold_20	0.2898540667415042	0.9950997337319568	0.657752052614531
scaffold_47	0.4678216014988199	1.0	1.0
scaffold_40	0.407392276080844	0.9512639937151034	0.8456131036652509
scaffold_24	0.39905646861376615	1.0	1.0
scaffold_15	0.20039951112454496	0.6645139360978926	0.7586333530067545
scaffold_51	0.7689480876129323	1.0	1.0
scaffold_35	0.3710068296981714	1.0	1.0
scaffold_23	0.2424425574920487	1.0	1.0
scaffold_55	0.634703196347032	1.0	1.0
scaffold_46	0.2833743045672144	1.0	1.0
scaffold_25	0.26990938844966683	0.6978499285450487	1.0
scaffold_49	0.3851545793918307	1.0	1.0
scaffold_66	1.0	1.0	1.0
