query	grouping_confidence	location_confidence	orientation_confidence
contig_224	1.0	1.0	1.0
contig_15	0.9825063938618925	1.0	1.0
contig_171	1.0	1.0	1.0
contig_102	0.44355528713070613	1.0	1.0
contig_97	0.35346906594935534	1.0	1.0
contig_20	0.43900198989744377	1.0	1.0
contig_221	1.0	1.0	1.0
contig_48	0.7426628489620616	1.0	1.0
contig_66	0.20527793374508704	1.0	1.0
contig_10	0.4706209453197405	1.0	1.0
contig_345	0.4359760345548279	1.0	1.0
contig_140	0.2364192499445566	1.0	1.0
contig_25	0.2402473834443387	1.0	1.0
contig_129	0.6361940298507462	1.0	1.0
contig_244	1.0	1.0	1.0
contig_301	1.0	1.0	1.0
contig_33	0.33030161691542287	1.0	1.0
contig_310	1.0	1.0	1.0
contig_36	0.2579039701003013	1.0	0.9935327405012127
contig_43	1.0	1.0	1.0
contig_155	0.6351149596894595	1.0	1.0
contig_334	0.5882028665931642	1.0	1.0
contig_44	0.23895496198089297	1.0	1.0
contig_107	0.5518790176363936	1.0	1.0
contig_92	1.0	1.0	1.0
contig_31	0.2944949003868672	1.0	1.0
contig_184	0.32735864428874045	1.0	1.0
contig_321	0.6469309370244221	1.0	1.0
contig_5	0.20164585804945107	1.0	0.9667451236279742
contig_156	1.0	1.0	1.0
contig_157	1.0	1.0	1.0
contig_316	0.568185690507084	1.0	1.0
contig_215	0.6845626108700763	1.0	1.0
contig_275	1.0	1.0	1.0
contig_49	0.6186658114175754	1.0	1.0
contig_7	0.446010041123193	1.0	1.0
contig_294	1.0	1.0	1.0
contig_37	0.49773169151004537	1.0	1.0
contig_100	1.0	1.0	1.0
contig_333	1.0	1.0	1.0
contig_101	1.0	1.0	1.0
contig_106	0.9795684113865932	1.0	1.0
contig_30	0.28753034105401737	1.0	1.0
contig_28	0.24306281582157171	1.0	1.0
contig_150	1.0	1.0	1.0
contig_176	0.5197844090968845	1.0	1.0
contig_143	0.7233152594887684	1.0	1.0
contig_26	0.5947739527167151	1.0	1.0
contig_21	0.3494152582762034	1.0	1.0
contig_159	0.5087890625	1.0	1.0
contig_24	0.8912579957356077	1.0	1.0
contig_339	0.3901226898586737	1.0	1.0
contig_105	0.4563723806252147	1.0	1.0
contig_90	0.46101364522417154	1.0	1.0
contig_6	1.0	1.0	1.0
contig_352	1.0	1.0	1.0
contig_69	0.7885196374622356	1.0	1.0
