query	grouping_confidence	location_confidence	orientation_confidence
scaffold_1	0.20136659913345017	1.0	1.0
scaffold_11	0.39317741556264313	0.9803779440252854	0.8388157199847253
scaffold_5	0.27184709548276437	1.0	1.0
scaffold_15	0.6556593390042196	1.0	1.0
scaffold_4	0.37118313172757356	0.9991869007565877	0.9909472081557458
scaffold_31	0.53446831826543	1.0	1.0
scaffold_34	0.6446614746286473	1.0	1.0
scaffold_24	0.4809769015742239	0.8458911198509625	0.6861801052245198
scaffold_33	0.9902521049360904	0.8749358530379643	0.6569253548913689
scaffold_17	0.4249650473239111	0.9348108915388109	0.9801821610626611
scaffold_37	0.9868701314508277	0.7406244469437039	0.8984043783242118
scaffold_3	0.2118718884611198	0.9674735387742929	1.0
scaffold_20	0.5011243421560077	1.0	1.0
scaffold_10	0.21917648993292396	1.0	1.0
scaffold_9	0.32448917887393686	1.0	1.0
scaffold_6	0.36156577875170415	0.9870700086430424	0.9990489353734073
scaffold_45	1.0	1.0	1.0
scaffold_12	0.3049995077877111	0.9988556104976386	0.9612257286741508
scaffold_21	0.6076718644936121	1.0	1.0
scaffold_29	0.9856928169614751	0.77011197892908	0.9383608212376253
scaffold_16	0.6304388264890338	0.9880379177184584	0.9713134236784855
scaffold_35	0.513902893162684	1.0	1.0
scaffold_13	0.3147556409201826	0.9866090422554135	0.7731159192381644
scaffold_14	0.27393307805300077	1.0	1.0
scaffold_36	1.0	0.46818085355302463	0.5997628982205744
scaffold_82	1.0	1.0	1.0
scaffold_38	0.9713360952874158	0.7374577337422348	0.7934782608695652
scaffold_41	1.0	1.0	1.0
scaffold_8	0.3038140296234475	1.0	1.0
scaffold_22	0.9923793589786096	0.9845475339817616	0.9138561570784236
scaffold_18	0.6210491047162128	1.0	1.0
scaffold_32	0.9845397450242154	0.8030349458426038	0.7636499377851514
scaffold_26	0.7025567813108371	0.9660701155743381	0.9180669474617601
scaffold_39	0.9681957909671317	1.0	1.0
scaffold_28	0.4383608939270789	0.9314097077882382	0.6080254003675505
scaffold_27	0.37231429100185426	0.9783732239916086	0.5548429855168515
scaffold_42	0.8556277796784126	1.0	1.0
scaffold_23	0.5504979168332311	0.9492945663996079	0.934510265885631
scaffold_30	0.6047101172708318	0.961616845656021	0.9008563702921226
scaffold_19	0.22265608450664445	0.9072765112643502	1.0
scaffold_25	0.24227234452928773	1.0	1.0
scaffold_89	1.0	1.0	1.0
scaffold_53	1.0	1.0	1.0
scaffold_43	0.47474747474747475	1.0	0.5143638850889193
scaffold_44	0.3949771689497717	1.0	1.0
