query	grouping_confidence	location_confidence	orientation_confidence
scaffold_163	1.0	1.0	1.0
scaffold_11	0.994111853198332	1.0	1.0
scaffold_99	1.0	1.0	1.0
scaffold_12	1.0	1.0	1.0
scaffold_20	0.9999103838017364	1.0	1.0
scaffold_10	1.0	1.0	1.0
scaffold_291	0.588293216630197	1.0	1.0
scaffold_179	1.0	1.0	1.0
scaffold_15	0.9720138096187372	0.9926361991947666	1.0
scaffold_231	0.5500114442664226	1.0	1.0
scaffold_102	1.0	1.0	1.0
scaffold_1	0.7800217785316411	1.0	1.0
scaffold_21	1.0	1.0	1.0
scaffold_74	1.0	1.0	1.0
scaffold_29	1.0	1.0	1.0
scaffold_68	0.9946487042754233	1.0	1.0
scaffold_14	1.0	1.0	1.0
scaffold_67	0.9750854597483445	1.0	1.0
scaffold_2	1.0	1.0	1.0
scaffold_275	1.0	1.0	1.0
scaffold_7	1.0	1.0	1.0
scaffold_125	0.7566539923954373	0.9324212160968165	0.8009475951184494
scaffold_105	1.0	0.7515392391104576	0.6741815180509277
scaffold_50	1.0	1.0	1.0
scaffold_56	1.0	1.0	1.0
scaffold_164	0.9772849772849773	1.0	1.0
scaffold_82	1.0	1.0	1.0
scaffold_3	0.9679299910747328	0.9940557213841367	1.0
scaffold_59	1.0	1.0	1.0
scaffold_106	1.0	1.0	1.0
scaffold_6	1.0	0.9993591135597094	0.9907264158390702
scaffold_186	1.0	1.0	1.0
scaffold_363	1.0	1.0	1.0
scaffold_85	0.8246048561168969	0.983917868375764	0.973751507840772
scaffold_203	0.9975862901279267	1.0	1.0
scaffold_73	1.0	1.0	1.0
scaffold_40	1.0	1.0	1.0
scaffold_47	1.0	0.24067624831623063	0.9002513723425969
scaffold_45	1.0	0.35168354128018875	0.9759285716144512
scaffold_168	0.9976120241606967	1.0	1.0
scaffold_32	0.9984656210854087	0.9943925303566485	1.0
scaffold_389	0.9440900562851783	1.0	1.0
scaffold_300	1.0	1.0	1.0
scaffold_98	0.6118768237412305	1.0	1.0
scaffold_101	1.0	1.0	1.0
scaffold_833	1.0	1.0	1.0
scaffold_51	1.0	0.7140907101263171	1.0
scaffold_121	1.0	1.0	1.0
scaffold_61	0.9265025002358713	1.0	1.0
scaffold_587	1.0	1.0	1.0
scaffold_557	1.0	1.0	1.0
scaffold_1505	1.0	1.0	1.0
scaffold_42	1.0	1.0	1.0
scaffold_23	0.9974691610089252	1.0	1.0
scaffold_16	0.9998467621597994	1.0	1.0
scaffold_110	1.0	1.0	1.0
scaffold_313	1.0	1.0	1.0
scaffold_76	1.0	1.0	1.0
scaffold_43	0.9998363517346716	1.0	1.0
scaffold_95	0.9634041591320073	1.0	1.0
scaffold_250	1.0	1.0	1.0
scaffold_44	1.0	1.0	1.0
scaffold_4	1.0	1.0	1.0
scaffold_107	0.9673737192162503	1.0	1.0
scaffold_5	1.0	1.0	1.0
scaffold_36	1.0	1.0	1.0
scaffold_92	1.0	1.0	1.0
scaffold_37	0.982747458910987	1.0	1.0
scaffold_13	0.9528659348469709	1.0	1.0
scaffold_41	0.9967224898604261	1.0	1.0
scaffold_127	0.4744685637161174	1.0	1.0
scaffold_26	1.0	0.9895802674682471	1.0
scaffold_139	0.646601633753668	1.0	1.0
scaffold_576	1.0	1.0	1.0
scaffold_64	0.9900364304869205	0.9594601220977272	1.0
scaffold_673	1.0	1.0	1.0
scaffold_414	0.8651892890120036	1.0	1.0
scaffold_30	0.9963512854263123	1.0	1.0
scaffold_284	0.5866345797852647	1.0	1.0
scaffold_55	0.9875369999718095	0.9613098504972448	1.0
scaffold_103	0.7580871562559817	1.0	1.0
