query	grouping_confidence	location_confidence	orientation_confidence
scaffold_1401	1.0	1.0	1.0
scaffold_1107	1.0	1.0	1.0
scaffold_145	0.9646157908634804	1.0	1.0
scaffold_268	1.0	1.0	1.0
scaffold_163	0.66765502127111	1.0	1.0
scaffold_682	1.0	1.0	1.0
scaffold_191	0.5315423683507083	1.0	1.0
scaffold_309	1.0	1.0	1.0
scaffold_179	1.0	1.0	1.0
scaffold_1349	1.0	1.0	1.0
scaffold_131	0.513235294117647	1.0	1.0
scaffold_320	0.6414360508601347	1.0	1.0
scaffold_109	1.0	1.0	1.0
scaffold_272	1.0	1.0	0.5
scaffold_1441	1.0	1.0	1.0
scaffold_359	1.0	1.0	1.0
scaffold_280	1.0	1.0	1.0
scaffold_486	1.0	1.0	1.0
scaffold_329	0.8608923884514436	1.0	1.0
scaffold_921	1.0	1.0	1.0
scaffold_196	0.7823487204018178	1.0	1.0
scaffold_117	0.5124198717948718	0.16091592488912654	0.6778733385457388
scaffold_170	1.0	1.0	1.0
scaffold_687	1.0	1.0	1.0
scaffold_45	0.37167908127417754	0.9847650566317652	0.8610105165570588
scaffold_182	0.7328822733423546	1.0	1.0
scaffold_473	1.0	1.0	1.0
scaffold_619	1.0	1.0	1.0
scaffold_34	0.534964201662314	0.977975247682023	1.0
scaffold_140	0.7841418671015083	1.0	1.0
scaffold_580	1.0	1.0	1.0
scaffold_284	0.6182358771060456	1.0	1.0
scaffold_137	1.0	1.0	1.0
scaffold_346	1.0	1.0	1.0
scaffold_221	1.0	1.0	1.0
scaffold_550	1.0	1.0	1.0
scaffold_1280	1.0	1.0	1.0
scaffold_490	1.0	1.0	1.0
scaffold_466	1.0	1.0	1.0
scaffold_688	1.0	1.0	1.0
scaffold_334	1.0	1.0	1.0
scaffold_24	0.6229867487714634	0.9565036589504476	0.915312848240744
scaffold_118	0.6459943780744906	1.0	1.0
scaffold_63	0.5033756630766758	0.8329842061512884	1.0
scaffold_425	1.0	1.0	1.0
scaffold_267	1.0	1.0	1.0
scaffold_180	1.0	1.0	1.0
scaffold_169	0.9981431887163007	1.0	1.0
scaffold_96	1.0	0.9899939102496798	0.9500471953250114
scaffold_69	0.9465833609287648	0.9866203080983681	0.7084201482670454
scaffold_395	0.7633333333333333	1.0	1.0
scaffold_366	0.6852791878172588	1.0	1.0
scaffold_397	1.0	1.0	1.0
scaffold_143	0.9194528875379939	1.0	1.0
scaffold_292	1.0	1.0	1.0
scaffold_84	0.7778023925564909	1.0	1.0
scaffold_236	1.0	1.0	1.0
scaffold_206	1.0	1.0	1.0
scaffold_90	0.7855368204856396	1.0	1.0
scaffold_93	0.44236132630926556	1.0	1.0
scaffold_260	1.0	1.0	1.0
scaffold_259	1.0	1.0	1.0
scaffold_249	0.5439205955334988	1.0	1.0
scaffold_25	0.9932208691158572	1.0	1.0
scaffold_60	0.9132770830532024	0.9060031902890713	1.0
scaffold_557	1.0	1.0	1.0
scaffold_317	1.0	1.0	1.0
scaffold_115	1.0	1.0	1.0
scaffold_123	0.6690425030134689	1.0	1.0
scaffold_54	0.8051428927214993	0.37176929224860134	0.9705368328255255
scaffold_71	0.5964124674657619	0.9967808767571048	0.9240980117753248
scaffold_80	0.9994788558363944	1.0	1.0
scaffold_91	0.7990907091002419	0.7273334045279795	0.9141981426421466
scaffold_89	0.8642071449430546	1.0	1.0
scaffold_94	0.63554792211753	1.0	1.0
scaffold_157	0.5037443166622092	1.0	1.0
scaffold_83	0.9660421855954211	1.0	1.0
scaffold_116	0.894295535377218	1.0	1.0
scaffold_81	0.957009309654779	0.8085234976069521	0.8684970806311494
scaffold_75	0.6829704257393565	1.0	1.0
scaffold_107	0.9584731443801908	1.0	1.0
scaffold_677	1.0	1.0	1.0
scaffold_164	0.5157556270096463	1.0	1.0
scaffold_383	0.6141804788213628	1.0	1.0
scaffold_15	0.9551162852428738	0.9900926434148157	0.8832497630387213
scaffold_66	0.8054422763930289	1.0	1.0
scaffold_234	1.0	1.0	1.0
scaffold_70	0.6671572922942111	0.9245050326815987	0.9884251895785661
scaffold_53	0.9916339966202335	0.9847524029538001	0.8285983992921744
scaffold_1595	1.0	1.0	1.0
scaffold_57	0.4431978930662097	0.969886492336345	0.6351770399491391
scaffold_46	0.5899659669393125	0.7866587856196314	0.6167121129491607
scaffold_534	1.0	1.0	1.0
scaffold_30	0.9807702712535424	0.9781514919207782	0.8827513002058263
scaffold_55	0.6400418668746539	0.8811217989730009	0.9261391977471761
scaffold_86	0.3966543304011456	1.0	1.0
scaffold_246	1.0	1.0	1.0
scaffold_153	1.0	1.0	1.0
