query	grouping_confidence	location_confidence	orientation_confidence
scaffold_1401	1.0	1.0	1.0
scaffold_1107	1.0	1.0	1.0
scaffold_846	1.0	1.0	1.0
scaffold_1034	1.0	1.0	1.0
scaffold_1187	1.0	1.0	1.0
scaffold_1091	1.0	1.0	1.0
scaffold_1018	1.0	1.0	1.0
scaffold_1226	1.0	1.0	1.0
scaffold_779	1.0	1.0	1.0
scaffold_1028	1.0	1.0	1.0
scaffold_647	1.0	1.0	1.0
scaffold_131	0.8626609442060086	1.0	1.0
scaffold_237	1.0	1.0	1.0
scaffold_570	1.0	1.0	1.0
scaffold_358	1.0	1.0	1.0
scaffold_1038	1.0	1.0	1.0
scaffold_1041	0.5127478753541076	1.0	1.0
scaffold_235	1.0	1.0	1.0
scaffold_804	1.0	1.0	1.0
scaffold_417	1.0	1.0	1.0
scaffold_1215	1.0	1.0	1.0
scaffold_1354	1.0	1.0	1.0
scaffold_741	1.0	1.0	1.0
scaffold_817	1.0	1.0	1.0
scaffold_242	0.4744420446364291	1.0	1.0
scaffold_1533	1.0	1.0	1.0
scaffold_192	0.7433404095048962	1.0	1.0
scaffold_464	1.0	1.0	1.0
scaffold_754	1.0	1.0	1.0
scaffold_478	1.0	1.0	1.0
scaffold_1496	1.0	1.0	1.0
scaffold_420	0.6851106639839034	1.0	1.0
scaffold_969	1.0	1.0	1.0
scaffold_1243	1.0	1.0	1.0
scaffold_1141	1.0	1.0	1.0
scaffold_945	1.0	1.0	1.0
scaffold_578	1.0	1.0	1.0
scaffold_655	1.0	1.0	1.0
scaffold_1378	1.0	1.0	1.0
scaffold_255	0.7240356083086054	1.0	1.0
scaffold_244	0.5443458980044346	1.0	1.0
scaffold_1039	1.0	1.0	1.0
scaffold_497	1.0	1.0	1.0
scaffold_331	1.0	1.0	1.0
scaffold_214	1.0	1.0	1.0
scaffold_565	1.0	1.0	1.0
scaffold_379	1.0	1.0	1.0
scaffold_360	1.0	1.0	1.0
scaffold_334	0.7030774433547514	1.0	1.0
scaffold_1009	1.0	1.0	1.0
scaffold_459	1.0	1.0	1.0
scaffold_470	1.0	1.0	1.0
scaffold_468	1.0	1.0	1.0
scaffold_454	0.9316427783902976	1.0	1.0
scaffold_492	1.0	1.0	1.0
scaffold_430	1.0	1.0	1.0
scaffold_434	0.9667444574095683	1.0	1.0
scaffold_233	1.0	1.0	1.0
scaffold_602	1.0	1.0	1.0
scaffold_290	1.0	0.01004548181107205	1.0
scaffold_1519	1.0	1.0	1.0
scaffold_1089	1.0	1.0	1.0
scaffold_1170	1.0	1.0	1.0
scaffold_120	0.5142528735632184	0.023739974583263688	0.6724407688869021
scaffold_946	1.0	1.0	1.0
scaffold_204	0.8338513704436281	1.0	1.0
scaffold_942	1.0	1.0	1.0
scaffold_457	0.9430176565008026	1.0	1.0
scaffold_440	1.0	1.0	1.0
scaffold_295	1.0	1.0	1.0
scaffold_1100	1.0	1.0	1.0
scaffold_324	1.0	1.0	1.0
scaffold_632	1.0	1.0	1.0
scaffold_982	1.0	1.0	1.0
scaffold_910	1.0	1.0	1.0
scaffold_545	0.9691422594142259	1.0	1.0
scaffold_180	0.591267883571781	1.0	1.0
scaffold_1419	1.0	1.0	1.0
scaffold_1317	1.0	1.0	1.0
scaffold_277	0.6161873559034098	1.0	1.0
scaffold_425	1.0	1.0	1.0
scaffold_453	0.9549891540130152	0.0035123550729696256	0.9821124361158433
scaffold_460	0.679322033898305	1.0	1.0
scaffold_226	0.9846341889296316	1.0	1.0
scaffold_266	0.6945949904789805	1.0	1.0
scaffold_1112	1.0	1.0	1.0
scaffold_370	0.7234901021308788	0.008694044776300319	1.0
scaffold_569	1.0	1.0	1.0
scaffold_143	0.5610317825886688	1.0	1.0
scaffold_301	1.0	0.010507675803300805	1.0
scaffold_771	1.0	1.0	1.0
scaffold_770	1.0	1.0	1.0
scaffold_623	1.0	1.0	1.0
scaffold_283	0.9571676635153386	1.0	1.0
scaffold_1283	1.0	1.0	1.0
scaffold_241	0.5571617269475653	1.0	1.0
scaffold_1318	1.0	1.0	1.0
scaffold_848	1.0	1.0	1.0
scaffold_512	0.6672413793103448	1.0	1.0
scaffold_257	1.0	1.0	1.0
scaffold_303	1.0	1.0	1.0
scaffold_707	1.0	1.0	1.0
scaffold_361	1.0	1.0	1.0
scaffold_1346	1.0	1.0	1.0
scaffold_791	1.0	1.0	1.0
scaffold_436	1.0	1.0	1.0
scaffold_279	1.0	1.0	1.0
scaffold_272	0.5784138342277877	1.0	1.0
scaffold_151	0.7428885745717428	1.0	1.0
