query	grouping_confidence	location_confidence	orientation_confidence
scaffold_47	0.40032459388878233	1.0	1.0
scaffold_53	0.3928192939903601	1.0	1.0
scaffold_25	0.29482649030676333	1.0	1.0
scaffold_199	0.3170323540349572	1.0	1.0
scaffold_71	0.32064015303551757	1.0	1.0
scaffold_102	0.5247150286284603	1.0	1.0
scaffold_70	0.6890629444067649	1.0	1.0
scaffold_401	1.0	1.0	1.0
scaffold_64	0.6736964030428567	1.0	1.0
scaffold_49	0.3086595461311467	1.0	1.0
scaffold_397	0.7417840375586855	1.0	1.0
scaffold_146	0.32066115702479336	1.0	1.0
scaffold_206	0.6005787268010377	1.0	1.0
scaffold_72	0.6065879351238876	1.0	1.0
scaffold_97	0.6101376549303499	1.0	1.0
scaffold_266	0.6657229524772498	1.0	1.0
scaffold_67	0.38519660984272697	1.0	1.0
scaffold_48	0.25508661320927956	1.0	1.0
scaffold_957	0.5083333333333333	1.0	1.0
scaffold_50	0.3874047332531087	1.0	1.0
scaffold_100	0.6120865285567129	1.0	1.0
scaffold_134	0.6325167037861915	1.0	1.0
scaffold_472	1.0	1.0	1.0
scaffold_190	0.6104546814238708	1.0	1.0
scaffold_296	0.5682030884417407	1.0	1.0
scaffold_65	0.28280566401655927	1.0	1.0
scaffold_43	0.3150744620030084	1.0	1.0
scaffold_301	0.9190697674418604	1.0	1.0
scaffold_950	1.0	1.0	1.0
scaffold_311	0.7625994694960212	1.0	1.0
scaffold_395	1.0	1.0	1.0
scaffold_236	0.8276553106212425	1.0	1.0
scaffold_315	0.8863121185701831	1.0	1.0
scaffold_225	0.267591674925669	1.0	1.0
scaffold_42	0.46777965606212746	1.0	1.0
scaffold_367	0.6895923102419622	1.0	1.0
scaffold_346	0.8696275071633238	1.0	1.0
scaffold_305	0.9785152838427947	1.0	1.0
scaffold_44	0.23599457873185972	1.0	1.0
scaffold_975	1.0	1.0	1.0
scaffold_135	0.31448867218696147	1.0	1.0
scaffold_62	0.5987702506334891	1.0	1.0
scaffold_78	0.7578826477343913	1.0	1.0
scaffold_464	1.0	1.0	1.0
scaffold_88	0.8423197492163009	1.0	1.0
scaffold_453	1.0	1.0	1.0
scaffold_1005	1.0	1.0	1.0
scaffold_459	1.0	1.0	1.0
scaffold_363	0.9496243923994697	1.0	1.0
scaffold_792	1.0	1.0	1.0
scaffold_208	0.9450871080139372	1.0	1.0
scaffold_404	1.0	1.0	1.0
scaffold_572	1.0	1.0	1.0
scaffold_268	0.957802988378528	1.0	1.0
scaffold_152	0.7664009809932557	1.0	1.0
scaffold_138	0.6431630242173656	1.0	1.0
scaffold_76	0.2850246801104146	1.0	1.0
scaffold_389	0.6141579152080903	1.0	1.0
