query	grouping_confidence	location_confidence	orientation_confidence
scaffold_359	0.5357607282184655	1.0	1.0
scaffold_69	1.0	1.0	1.0
scaffold_27	1.0	0.9876387987290307	0.9789343139425472
scaffold_102	1.0	1.0	1.0
scaffold_1	0.7790036519327436	1.0	1.0
scaffold_21	1.0	1.0	1.0
scaffold_74	1.0	1.0	1.0
scaffold_29	1.0	1.0	1.0
scaffold_68	0.9997082229365009	1.0	1.0
scaffold_14	1.0	0.9932470826080975	0.992737477266979
scaffold_67	1.0	1.0	1.0
scaffold_2	1.0	1.0	1.0
scaffold_275	1.0	1.0	1.0
scaffold_7	1.0	1.0	1.0
scaffold_125	0.8435033173519298	0.9324642646822635	0.8011195636572412
scaffold_105	1.0	0.7559648196201805	0.6701397326852977
scaffold_50	1.0	1.0	1.0
scaffold_56	0.957576501077264	1.0	1.0
scaffold_11	0.9852745421637134	1.0	1.0
scaffold_99	1.0	1.0	1.0
scaffold_12	1.0	1.0	1.0
scaffold_20	1.0	1.0	1.0
scaffold_10	1.0	1.0	1.0
scaffold_186	1.0	1.0	1.0
scaffold_6	0.9999180472293817	0.9955416990663188	0.9906607164078796
scaffold_311	1.0	1.0	1.0
scaffold_106	1.0	1.0	1.0
scaffold_59	1.0	1.0	1.0
scaffold_3	1.0	1.0	1.0
scaffold_94	0.5100171454071447	1.0	1.0
scaffold_139	1.0	1.0	1.0
scaffold_124	0.990769720439234	1.0	1.0
scaffold_119	0.9299330242143226	1.0	1.0
scaffold_95	0.9991444993984762	1.0	1.0
scaffold_43	1.0	1.0	1.0
scaffold_76	1.0	0.975437808165942	1.0
scaffold_313	1.0	1.0	1.0
scaffold_110	1.0	1.0	1.0
scaffold_16	1.0	1.0	1.0
scaffold_23	1.0	1.0	1.0
scaffold_42	0.9969925712916368	0.9999543339486233	1.0
scaffold_162	0.8654670611678039	1.0	1.0
scaffold_85	0.8438189654176343	1.0	1.0
scaffold_203	1.0	1.0	1.0
scaffold_73	0.9995147074938556	1.0	1.0
scaffold_40	0.9998902617840165	1.0	1.0
scaffold_47	0.9015415653613367	1.0	1.0
scaffold_45	0.9767259644817761	1.0	1.0
scaffold_168	1.0	1.0	1.0
scaffold_32	0.9977385685407624	1.0	1.0
scaffold_51	1.0	0.9740773250198802	1.0
scaffold_121	0.9945223731448241	1.0	1.0
scaffold_1369	1.0	1.0	1.0
scaffold_727	1.0	1.0	1.0
scaffold_61	0.9994642248307437	0.9995713339308678	0.9793859649122807
scaffold_79	0.5602615906398585	1.0	1.0
scaffold_250	0.9157795867251096	1.0	1.0
scaffold_44	1.0	1.0	1.0
scaffold_4	1.0	0.9888843039498874	1.0
scaffold_107	1.0	1.0	1.0
scaffold_393	1.0	1.0	1.0
scaffold_5	0.9998164491303999	0.9989108290469346	0.8264531238735006
scaffold_880	1.0	1.0	1.0
scaffold_252	0.9744435284418796	1.0	1.0
scaffold_36	1.0	1.0	1.0
scaffold_92	1.0	1.0	1.0
scaffold_37	0.9844365872541473	1.0	1.0
scaffold_8	0.9970537740917627	0.7326886424840081	0.9973364365821786
scaffold_328	1.0	1.0	1.0
scaffold_862	1.0	1.0	1.0
scaffold_219	0.33694785520650616	1.0	1.0
scaffold_650	1.0	1.0	1.0
scaffold_870	1.0	1.0	1.0
scaffold_1255	1.0	1.0	1.0
scaffold_845	1.0	1.0	1.0
scaffold_1416	1.0	1.0	1.0
scaffold_690	0.6443195503813729	1.0	1.0
scaffold_337	0.718923198733175	1.0	1.0
scaffold_227	1.0	1.0	1.0
scaffold_278	0.6062154978531997	0.011448539490704094	0.9804384485666104
scaffold_689	1.0	1.0	1.0
scaffold_559	0.9205819945438012	1.0	1.0
scaffold_53	0.9766096091968606	0.9890957892970978	1.0
scaffold_1157	1.0	1.0	1.0
scaffold_246	1.0	1.0	1.0
scaffold_260	0.9946781805402148	1.0	1.0
scaffold_488	1.0	1.0	1.0
scaffold_257	1.0	1.0	1.0
scaffold_442	1.0	1.0	1.0
scaffold_611	1.0	1.0	1.0
scaffold_917	1.0	1.0	1.0
scaffold_630	1.0	1.0	1.0
scaffold_160	0.9106949945984876	1.0	1.0
scaffold_272	0.8554313099041534	1.0	1.0
scaffold_279	1.0	1.0	1.0
scaffold_150	0.5464935064935065	0.0379559585803798	1.0
scaffold_623	1.0	1.0	1.0
scaffold_491	1.0	1.0	1.0
scaffold_427	1.0	0.0008692572679566015	0.8681481481481481
scaffold_1376	1.0	1.0	1.0
scaffold_418	1.0	1.0	1.0
scaffold_852	1.0	1.0	1.0
scaffold_1318	1.0	1.0	1.0
scaffold_184	0.7281836754548108	1.0	1.0
scaffold_330	0.8736505397840864	1.0	1.0
scaffold_282	0.7730677562138236	1.0	1.0
scaffold_882	1.0	1.0	1.0
scaffold_412	1.0	1.0	1.0
scaffold_799	1.0	0.0028593759548675326	1.0
scaffold_1080	1.0	1.0	1.0
scaffold_471	0.7770992366412214	1.0	1.0
scaffold_511	0.6651562127355116	1.0	1.0
scaffold_134	0.9805751953644144	1.0	1.0
scaffold_146	0.9808545412094326	0.01390173482134732	0.7907641037848131
scaffold_421	1.0	1.0	1.0
scaffold_374	1.0	1.0	1.0
scaffold_238	1.0	0.18546493824640195	0.8592585180367238
scaffold_200	0.8119419642857143	0.002797711068552574	1.0
scaffold_735	0.5879765395894428	1.0	1.0
scaffold_192	0.7907545222445543	0.1273544876337454	0.7189668200865563
scaffold_481	1.0	0.0009460919986273649	0.752542372881356
scaffold_503	0.9950288327699344	1.0	1.0
scaffold_194	0.9807970090916815	0.10570028844833113	0.8332322619769558
scaffold_349	1.0	1.0	1.0
scaffold_1456	1.0	1.0	1.0
scaffold_968	1.0	1.0	1.0
scaffold_147	0.9849938611250056	1.0	1.0
scaffold_369	0.7554444841128168	1.0	1.0
scaffold_378	1.0	1.0	1.0
scaffold_547	1.0	1.0	1.0
scaffold_673	1.0	1.0	1.0
scaffold_864	1.0	1.0	1.0
scaffold_1198	1.0	1.0	1.0
scaffold_353	0.8129704690214244	1.0	1.0
scaffold_1189	1.0	1.0	1.0
scaffold_1164	1.0	1.0	1.0
scaffold_1498	1.0	1.0	1.0
scaffold_1334	1.0	1.0	1.0
scaffold_276	0.50486740516952	1.0	1.0
scaffold_826	1.0	1.0	1.0
scaffold_1512	1.0	1.0	1.0
scaffold_771	1.0	1.0	1.0
scaffold_634	0.6263665594855305	1.0	1.0
scaffold_465	1.0	1.0	1.0
scaffold_942	1.0	1.0	1.0
scaffold_403	0.8043704474505723	0.001485904094790301	1.0
scaffold_645	1.0	1.0	1.0
scaffold_1274	1.0	1.0	1.0
scaffold_153	0.9354732471565179	1.0	1.0
scaffold_608	1.0	0.003166464499133036	0.9604386995691343
scaffold_93	0.9212917242741457	1.0	1.0
scaffold_60	0.9940103258365521	0.7997935051121343	0.9931381637656925
scaffold_25	0.9994511498074815	0.992596196772624	1.0
scaffold_249	1.0	1.0	1.0
scaffold_49	0.9650776675509758	1.0	1.0
scaffold_38	0.9991198806949386	1.0	1.0
scaffold_135	1.0	1.0	1.0
scaffold_103	0.8395736335464168	1.0	1.0
scaffold_55	0.9804230117909728	1.0	1.0
scaffold_30	0.994242844298603	0.9854798632929129	1.0
scaffold_640	1.0	1.0	1.0
scaffold_17	1.0	1.0	1.0
scaffold_77	1.0	1.0	1.0
scaffold_33	0.9795818654048911	0.9777985321441476	1.0
scaffold_309	1.0	1.0	1.0
scaffold_214	0.5050045495905369	1.0	1.0
scaffold_881	1.0	1.0	1.0
scaffold_560	1.0	1.0	1.0
scaffold_1202	1.0	1.0	1.0
scaffold_759	1.0	1.0	1.0
scaffold_476	0.5369274600043831	1.0	1.0
scaffold_712	1.0	1.0	1.0
scaffold_239	1.0	1.0	1.0
scaffold_530	1.0	1.0	1.0
scaffold_1153	1.0	1.0	1.0
scaffold_936	1.0	1.0	1.0
scaffold_890	1.0	1.0	1.0
scaffold_388	1.0	1.0	1.0
scaffold_1509	1.0	1.0	1.0
scaffold_827	1.0	1.0	1.0
scaffold_466	1.0	1.0	1.0
scaffold_177	1.0	1.0	1.0
scaffold_408	1.0	1.0	1.0
scaffold_883	1.0	1.0	1.0
scaffold_1491	1.0	1.0	1.0
scaffold_774	1.0	1.0	1.0
scaffold_818	1.0	1.0	1.0
scaffold_1139	1.0	1.0	1.0
scaffold_592	1.0	1.0	1.0
scaffold_763	1.0	1.0	1.0
scaffold_668	1.0	1.0	1.0
scaffold_696	1.0	1.0	1.0
scaffold_941	1.0	1.0	1.0
scaffold_619	1.0	1.0	1.0
scaffold_814	1.0	1.0	1.0
scaffold_473	1.0	0.2152432018383761	0.8113879003558719
scaffold_434	1.0	0.001700429353104451	0.9644194756554307
scaffold_758	1.0	0.07701668984700974	0.8361173814898419
scaffold_1458	1.0	1.0	1.0
scaffold_717	1.0	1.0	1.0
scaffold_345	0.6523929471032746	0.003832449453099105	1.0
scaffold_590	1.0	1.0	1.0
scaffold_341	0.9455304780522481	1.0	1.0
scaffold_141	1.0	1.0	1.0
scaffold_318	0.8934717545828657	0.01793067980044071	1.0
scaffold_513	1.0	1.0	1.0
scaffold_597	0.5973828362751065	1.0	1.0
scaffold_664	1.0	1.0	1.0
scaffold_452	0.5154991457163778	1.0	1.0
scaffold_306	0.5137831451824626	1.0	1.0
scaffold_524	1.0	1.0	1.0
scaffold_230	0.6637085474077534	1.0	1.0
scaffold_181	0.5915123621962967	1.0	1.0
scaffold_997	1.0	1.0	1.0
scaffold_504	0.9540669856459331	1.0	1.0
scaffold_1431	1.0	1.0	1.0
scaffold_419	1.0	1.0	1.0
scaffold_686	0.6574585635359116	1.0	1.0
