query	grouping_confidence	location_confidence	orientation_confidence
scaffold_28	0.5972833127191024	0.9081410099481451	1.0
scaffold_26	0.43629361076447665	1.0	1.0
scaffold_12	0.42751058262959735	0.9843546433224384	1.0
scaffold_31	0.9602637428507206	1.0	1.0
scaffold_29	0.6046152153436186	1.0	1.0
scaffold_15	0.45421680438408174	1.0	1.0
scaffold_17	0.2657676448761466	1.0	1.0
scaffold_11	0.2048276970599129	0.9782808239067814	0.9729195810160701
scaffold_39	1.0	1.0	1.0
scaffold_18	0.3879453485114727	1.0	1.0
scaffold_22	0.30682258302367754	1.0	1.0
scaffold_40	1.0	1.0	1.0
scaffold_32	1.0	1.0	1.0
scaffold_9	0.24334901538834838	1.0	1.0
scaffold_16	0.3929406197226406	1.0	1.0
scaffold_24	0.5929753667848906	1.0	1.0
scaffold_14	0.43664599499309215	1.0	1.0
scaffold_23	0.2843413401249081	1.0	1.0
scaffold_19	0.2592464860289098	1.0	1.0
scaffold_25	0.5950401778140915	1.0	1.0
scaffold_38	1.0	1.0	1.0
scaffold_34	0.5875706214689266	1.0	1.0
scaffold_20	0.271405011753116	0.9444345000786509	1.0
scaffold_8	0.35592882493643824	1.0	1.0
scaffold_27	0.2972136353387657	1.0	1.0
scaffold_21	0.3071553171504407	1.0	1.0
scaffold_35	1.0	1.0	1.0
scaffold_30	0.5337993930759138	0.9153973041431717	0.9700371707971741
