query	grouping_confidence	location_confidence	orientation_confidence
scaffold_27	0.9941994753022422	0.9167614373216816	0.9834544821432458
scaffold_22	1.0	0.9914523302589587	1.0
scaffold_48	1.0	1.0	1.0
scaffold_59	0.7810321873286866	1.0	1.0
scaffold_23	1.0	1.0	1.0
scaffold_6	1.0	1.0	1.0
scaffold_11	1.0	0.9918804359605424	1.0
scaffold_24	0.9251015126969767	0.9478878340274723	0.9536239794409952
scaffold_168	1.0	1.0	1.0
scaffold_70	0.520706310871803	1.0	1.0
scaffold_47	0.8072184292625583	1.0	1.0
scaffold_19	1.0	1.0	1.0
scaffold_9	0.9985793096907282	0.9995193981203127	0.9987303107473754
scaffold_4	0.9971141379358418	0.9721790841899584	0.9826531896279667
scaffold_100	0.6923076923076923	1.0	1.0
scaffold_98	0.6215727628803857	1.0	1.0
scaffold_161	1.0	1.0	1.0
scaffold_66	0.9390905605850609	1.0	1.0
scaffold_203	1.0	1.0	1.0
scaffold_112	1.0	1.0	1.0
scaffold_44	0.5267359913262037	0.10349644255187289	0.7996351047904192
scaffold_87	0.5359352689195621	1.0	1.0
scaffold_83	1.0	1.0	1.0
scaffold_158	1.0	1.0	1.0
scaffold_164	1.0	1.0	1.0
scaffold_148	1.0	1.0	1.0
scaffold_55	0.828527878058564	0.10905481462708948	0.8194933963360316
scaffold_69	0.6624248033317909	1.0	1.0
scaffold_79	1.0	1.0	1.0
scaffold_102	0.9173680183626626	1.0	1.0
scaffold_81	1.0	1.0	1.0
scaffold_86	1.0	1.0	1.0
scaffold_88	0.6313744536182613	1.0	1.0
scaffold_51	0.8352405382157778	0.3812366573304495	1.0
scaffold_94	1.0	1.0	1.0
scaffold_42	0.3103565944378093	1.0	1.0
scaffold_124	1.0	1.0	1.0
scaffold_28	0.7000812335350253	1.0	1.0
scaffold_17	0.9991641383046178	1.0	1.0
scaffold_1	0.9995677382739794	0.6288124281140313	0.9997380150563268
scaffold_14	0.9839703766236257	1.0	1.0
scaffold_97	0.7290748898678414	1.0	1.0
scaffold_77	0.8075356415478615	1.0	1.0
scaffold_8	0.9711406553165906	0.3154562413367474	0.9994583175342614
scaffold_3	1.0	1.0	1.0
scaffold_12	0.9971935281328694	0.9964669281551664	0.9749955745371189
scaffold_75	0.9282260117078137	1.0	1.0
scaffold_170	1.0	1.0	1.0
scaffold_167	1.0	1.0	1.0
scaffold_107	1.0	1.0	1.0
scaffold_115	1.0	1.0	1.0
scaffold_141	1.0	1.0	1.0
scaffold_145	1.0	1.0	1.0
scaffold_114	1.0	1.0	1.0
scaffold_76	1.0	1.0	1.0
scaffold_56	0.39001766784452296	1.0	1.0
scaffold_26	0.876348684100201	0.9999043311214688	0.9814882143800255
scaffold_29	1.0	1.0	1.0
scaffold_177	1.0	1.0	1.0
scaffold_18	1.0	1.0	1.0
scaffold_57	0.9732202061607089	1.0	1.0
scaffold_50	0.7841293322062552	1.0	1.0
scaffold_52	0.9227862883835956	0.003269559121870364	1.0
scaffold_120	1.0	1.0	1.0
scaffold_182	1.0	1.0	1.0
scaffold_104	0.7686567164179104	1.0	1.0
scaffold_5	0.994125708783062	0.9938041033331061	0.9969500050912387
scaffold_21	1.0	1.0	1.0
scaffold_40	1.0	0.9810649260310759	1.0
scaffold_65	1.0	1.0	1.0
scaffold_45	0.9778285832380731	0.9717472787019922	1.0
scaffold_46	1.0	1.0	1.0
scaffold_192	1.0	1.0	1.0
scaffold_25	0.9489608495967	0.13729351850705726	0.9886356708478761
scaffold_33	0.9869396594267268	0.9415927193769594	1.0
scaffold_32	1.0	0.9161432563877124	0.9648615138862463
scaffold_34	1.0	1.0	1.0
scaffold_35	1.0	1.0	1.0
scaffold_36	0.9934116234327992	1.0	1.0
scaffold_13	0.9925389179297385	0.9133898107969727	0.9398411572404419
scaffold_15	0.7542496529186471	0.9785912711108321	1.0
scaffold_38	1.0	1.0	1.0
scaffold_31	0.9972031162112965	0.15744567330418754	0.998807490823009
scaffold_16	0.9922771895708903	0.9446274329148912	1.0
scaffold_64	0.7227439121438803	0.0028815463008204888	1.0
scaffold_39	0.8953240010515248	0.9871169222631612	0.9784339272934138
scaffold_2	0.9845845231056457	0.9391186374155039	0.9744959632056631
scaffold_60	0.5612262672008361	1.0	1.0
scaffold_49	0.3826863620748884	0.8716744913928013	0.6447037701974865
scaffold_7	0.8949483364721099	0.9744851714184339	0.9833129823423354
scaffold_20	0.9375102454321917	0.9826861217894671	1.0
scaffold_10	0.9291002695068807	0.9960361639768686	0.9953683670101581
scaffold_43	0.9822834067116145	1.0	1.0
scaffold_30	0.4204953999194367	0.9624452727487871	1.0
scaffold_123	1.0	1.0	1.0
scaffold_72	0.5076010381905821	1.0	1.0
scaffold_80	1.0	1.0	1.0
scaffold_78	1.0	1.0	1.0
scaffold_138	1.0	1.0	1.0
scaffold_159	1.0	1.0	1.0
scaffold_62	1.0	1.0	1.0
scaffold_68	0.7984852583175548	1.0	1.0
scaffold_110	0.43886000385133833	1.0	1.0
scaffold_74	1.0	1.0	1.0
scaffold_139	1.0	1.0	1.0
scaffold_111	1.0	1.0	1.0
scaffold_53	0.6231833377627953	1.0	1.0
scaffold_67	0.9175531914893617	1.0	1.0
scaffold_37	0.9097201148486193	0.9970450533425436	1.0
scaffold_41	0.29999671344529527	1.0	1.0
scaffold_108	1.0	1.0	1.0
scaffold_95	0.8820224719101124	1.0	1.0
scaffold_54	1.0	1.0	1.0
scaffold_91	0.4282903796970293	1.0	1.0
scaffold_73	0.9901610017889088	1.0	1.0
scaffold_117	1.0	1.0	1.0
scaffold_71	1.0	1.0	1.0
scaffold_85	0.6634837962962963	1.0	1.0
